Tournament,Stage,Match Type,Match Name,Team,Action,Map,Year
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,FULL SENSE,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Vision Strikers,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,FULL SENSE,pick,Haven,2021
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Vision Strikers,pick,Breeze,2021
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,FULL SENSE,ban,Bind,2021
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Vision Strikers,ban,Split,2021
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Crazy Raccoon,ban,Bind,2021
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Team Vikings,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Crazy Raccoon,pick,Icebox,2021
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Team Vikings,pick,Haven,2021
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Crazy Raccoon,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Team Vikings,ban,Breeze,2021
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,FNATIC,ban,Breeze,2021
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Cloud9,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,FNATIC,pick,Icebox,2021
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Cloud9,pick,Split,2021
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,FNATIC,ban,Bind,2021
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Cloud9,ban,Haven,2021
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Team Secret,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Gambit Esports,ban,Haven,2021
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Team Secret,pick,Icebox,2021
